NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
,0200T,,1955.38,1857.61,2136.25
#,0200T,,432.79,411.15,472.82
,0201T,,1955.38,1857.61,2136.25
#,0201T,,432.79,411.15,472.82
,0202T,,1150.33,1092.81,1256.73
,0207T,,69.87,66.38,76.34
#,0207T,,53.82,51.13,58.80
,0208T,,33.30,31.64,36.39
,0213T,,206.26,195.95,225.34
#,0213T,,117.86,111.97,128.77
,0214T,,104.08,98.88,113.71
#,0214T,,67.29,63.93,73.52
,0215T,,104.81,99.57,114.51
#,0215T,,68.03,64.63,74.32
,0216T,,186.75,177.41,204.02
#,0216T,,99.46,94.49,108.66
,0217T,,96.47,91.65,105.40
#,0217T,,57.84,54.95,63.19
,0218T,,96.47,91.65,105.40
#,0218T,,58.58,55.65,64.00
,0219T,,1525.26,1449.00,1666.35
,0221T,,1870.51,1776.98,2043.53
,0222T,,470.58,447.05,514.11
,0232T,,228.77,217.33,249.93
,0234T,,2075.11,1971.35,2267.05
#,0234T,,454.16,431.45,496.17
,0236T,,2075.11,1971.35,2267.05
#,0236T,,454.16,431.45,496.17
,0237T,,2075.11,1971.35,2267.05
#,0237T,,454.16,431.45,496.17
,0238T,,2075.11,1971.35,2267.05
#,0238T,,454.16,431.45,496.17
,0253T,,683.15,648.99,746.34
,0266T,,662.08,628.98,723.33
,0268T,,259.25,246.29,283.23
#,0268T,,141.88,134.79,155.01
,0269T,,230.35,218.83,251.65
,0272T,,76.99,73.14,84.11
,0273T,,76.99,73.14,84.11
,0278T,,22.23,21.12,24.29
,0330T,,23.54,22.36,25.71
,0335T,,559.18,531.22,610.90
,0345T,,2120.47,2014.45,2316.62
,0358T,,145.35,138.08,158.79
,0362T,,128.45,122.03,140.33
#,0362T,,117.30,111.44,128.16
,0373T,,5.45,5.18,5.96
,0378T,,35.86,34.07,39.18
,0394T,,238.42,226.50,260.48
,0395T,,633.47,601.80,692.07
,0398T,,1678.96,1595.01,1834.26
,0398T,TC,1678.96,1595.01,1834.26
,0398T,26,1678.96,1595.01,1834.26
,0402T,,386.29,366.98,422.03
#,0402T,,291.05,276.50,317.98
,0403T,,71.83,68.24,78.48
#,0403T,,65.14,61.88,71.16
,0408T,,375.06,356.31,409.76
,0415T,,363.02,344.87,396.60
,0418T,,52.24,49.63,57.07
,0421T,,904.83,859.59,988.53
,0437T,,319.56,303.58,349.12
,0440T,,164.76,156.52,180.00
#,0440T,,123.90,117.71,135.37
,0441T,,164.76,156.52,180.00
#,0441T,,123.90,117.71,135.37
,0442T,,53.71,51.02,58.67
,0446T,,3002.31,2852.19,3280.02
#,0446T,,56.55,53.72,61.78
,0447T,,99.20,94.24,108.38
#,0447T,,66.27,62.96,72.40
,0448T,,2990.13,2840.62,3266.71
#,0448T,,94.10,89.40,102.81
,0449T,,683.15,648.99,746.34
,0450T,,341.57,324.49,373.16
,0464T,,70.42,66.90,76.94
,0474T,,683.15,648.99,746.34
,0479T,,224.61,213.38,245.39
,0480T,,224.61,213.38,245.39
,0481T,,278.72,264.78,304.50
#,0481T,,119.75,113.76,130.82
,0483T,,1340.78,1273.74,1464.80
,0484T,,1742.49,1655.37,1903.68
,0505T,,10643.27,10111.11,11627.78
#,0505T,,619.68,588.70,677.01
,0506T,,137.61,130.73,150.34
,0506T,TC,98.18,93.27,107.26
,0506T,26,39.43,37.46,43.08
,0507T,,13.17,12.51,14.39
,0507T,TC,4.34,4.12,4.74
,0507T,26,8.83,8.39,9.65
,0509T,,74.31,70.59,81.18
,0509T,TC,53.83,51.14,58.81
,0509T,26,20.48,19.46,22.38
,0510T,,398.55,378.62,435.41
#,0510T,,162.69,154.56,177.74
,0511T,,540.64,513.61,590.65
,0512T,,349.33,331.86,381.64
#,0512T,,245.33,233.06,268.02
,0513T,,98.38,93.46,107.48
#,0513T,,67.25,63.89,73.47
,0515T,,569.24,540.78,621.90
,0516T,,533.13,506.47,582.44
,0517T,,426.91,405.56,466.39
,0518T,,247.22,234.86,270.09
,0523T,,150.18,142.67,164.07
,0543T,,1678.39,1594.47,1833.64
,0545T,,2120.47,2014.45,2316.62
,0546T,,246.83,234.49,269.66
,0552T,,6.78,6.44,7.41
,0559T,,24.69,23.46,26.98
,0561T,,135.88,129.09,148.45
,0563T,,69.87,66.38,76.34
#,0563T,,53.82,51.13,58.80
,0565T,,544.87,517.63,595.27
,0566T,,68.93,65.48,75.30
#,0566T,,52.22,49.61,57.05
,0569T,,2120.47,2014.45,2316.62
,0570T,,501.66,476.58,548.07
,0575T,,76.99,73.14,84.11
,0576T,,70.40,66.88,76.91
,0577T,,304.14,288.93,332.27
,0581T,,2906.90,2761.56,3175.79
#,0581T,,251.14,238.58,274.37
,0591T,,23.47,22.30,25.65
#,0591T,,9.02,8.57,9.86
,0592T,,22.55,21.42,24.63
#,0592T,,19.86,18.87,21.70
,0593T,,10.04,9.54,10.97
#,0593T,,9.03,8.58,9.87
,0596T,,2216.01,2105.21,2420.99
,0597T,,582.46,553.34,636.34
,0598T,,60.25,57.24,65.83
,0599T,,35.48,33.71,38.77
,0601T,,1708.40,1622.98,1866.43
,0613T,,1149.51,1092.03,1255.83
,0615T,,114.80,109.06,125.42
,0617T,,588.96,559.51,643.44
,0618T,,827.25,785.89,903.77
,0620T,,1403.48,1333.31,1533.31
,0640T,,88.00,83.60,96.14
,0644T,,856.17,813.36,935.36
,0646T,,1340.29,1273.28,1464.27
,0649T,,44.70,42.47,48.84
,0650T,,64.53,61.30,70.50
,0650T,TC,38.17,36.26,41.70
,0650T,26,26.36,25.04,28.80
,0671T,,683.15,648.99,746.34
,0693T,,97.60,92.72,106.63
,0707T,,173.64,164.96,189.70
,0780T,,23.47,22.30,25.65
#,0780T,,9.02,8.57,9.86
,10004,,54.25,51.54,59.27
#,10004,,45.21,42.95,49.39
,10005,,134.76,128.02,147.22
#,10005,,74.38,70.66,81.26
,10006,,61.07,58.02,66.72
#,10006,,50.74,48.20,55.43
,10007,,300.40,285.38,328.19
#,10007,,91.84,87.25,100.34
,10008,,140.82,133.78,153.85
#,10008,,53.33,50.66,58.26
,10009,,419.47,398.50,458.28
#,10009,,109.85,104.36,120.01
,10010,,233.57,221.89,255.17
#,10010,,74.72,70.98,81.63
,10021,,102.08,96.98,111.53
#,10021,,56.55,53.72,61.78
,10030,,622.07,590.97,679.62
#,10030,,137.14,130.28,149.82
,10035,,354.03,336.33,386.78
#,10035,,84.77,80.53,92.61
,10036,,288.60,274.17,315.30
#,10036,,43.23,41.07,47.23
,10040,,115.90,110.11,126.63
#,10040,,52.95,50.30,57.85
,10060,,127.45,121.08,139.24
#,10060,,107.76,102.37,117.73
,10061,,217.92,207.02,238.07
#,10061,,188.54,179.11,205.98
,10080,,248.91,236.46,271.93
#,10080,,108.14,102.73,118.14
,10081,,346.81,329.47,378.89
#,10081,,178.93,169.98,195.48
,10120,,152.47,144.85,166.58
#,10120,,107.27,101.91,117.20
,10121,,268.43,255.01,293.26
#,10121,,189.33,179.86,206.84
,10140,,171.22,162.66,187.06
#,10140,,121.17,115.11,132.38
,10160,,130.77,124.23,142.86
#,10160,,98.48,93.56,107.59
,10180,,269.21,255.75,294.11
#,10180,,187.52,178.14,204.86
,11000,,59.00,56.05,64.46
#,11000,,28.01,26.61,30.60
,11001,,27.36,25.99,29.89
#,11001,,15.09,14.34,16.49
,11004,,599.56,569.58,655.02
,11005,,830.86,789.32,907.72
,11006,,745.14,707.88,814.06
,11008,,293.13,278.47,320.24
,11010,,453.99,431.29,495.98
#,11010,,286.75,272.41,313.27
,11011,,510.61,485.08,557.84
#,11011,,312.70,297.07,341.63
,11012,,666.81,633.47,728.49
#,11012,,436.29,414.48,476.65
,11042,,129.59,123.11,141.58
#,11042,,62.12,59.01,67.86
,11043,,236.77,224.93,258.67
#,11043,,158.96,151.01,173.66
,11044,,319.97,303.97,349.57
#,11044,,235.06,223.31,256.81
,11045,,40.94,38.89,44.72
#,11045,,26.41,25.09,28.85
,11046,,75.83,72.04,82.85
#,11046,,57.75,54.86,63.09
,11047,,126.27,119.96,137.95
#,11047,,102.37,97.25,111.84
,11055,,70.01,66.51,76.49
#,11055,,15.77,14.98,17.23
,11056,,81.31,77.24,88.83
#,11056,,22.22,21.11,24.28
,11057,,89.05,84.60,97.29
#,11057,,29.00,27.55,31.68
,11102,,99.55,94.57,108.76
#,11102,,38.21,36.30,41.75
,11103,,49.92,47.42,54.53
#,11103,,22.16,21.05,24.21
,11104,,124.25,118.04,135.75
#,11104,,47.74,45.35,52.15
,11105,,59.48,56.51,64.99
#,11105,,26.23,24.92,28.66
,11106,,154.45,146.73,168.74
#,11106,,57.92,55.02,63.27
,11107,,71.07,67.52,77.65
#,11107,,31.36,29.79,34.26
,11200,,92.69,88.06,101.27
#,11200,,77.19,73.33,84.33
,11201,,18.64,17.71,20.37
#,11201,,16.38,15.56,17.89
,11300,,99.51,94.53,108.71
#,11300,,34.62,32.89,37.82
,11301,,120.74,114.70,131.91
#,11301,,51.97,49.37,56.78
,11302,,136.24,129.43,148.84
#,11302,,60.37,57.35,65.95
,11303,,151.27,143.71,165.27
#,11303,,72.17,68.56,78.84
,11305,,104.15,98.94,113.78
#,11305,,37.96,36.06,41.47
,11306,,121.50,115.43,132.74
#,11306,,49.51,47.03,54.08
,11307,,137.85,130.96,150.60
#,11307,,63.27,60.11,69.13
,11308,,145.34,138.07,158.78
#,11308,,70.76,67.22,77.30
,11310,,114.96,109.21,125.59
#,11310,,46.19,43.88,50.46
,11311,,136.18,129.37,148.78
#,11311,,63.54,60.36,69.41
,11312,,154.85,147.11,169.18
#,11312,,75.11,71.35,82.05
,11313,,181.12,172.06,197.87
#,11313,,97.50,92.63,106.52
,11400,,128.32,121.90,140.19
#,11400,,85.71,81.42,93.63
,11401,,156.61,148.78,171.10
#,11401,,107.54,102.16,117.48
,11402,,172.92,164.27,188.91
#,11402,,118.04,112.14,128.96
,11403,,200.56,190.53,219.11
#,11403,,153.43,145.76,167.62
,11404,,228.14,216.73,249.24
#,11404,,170.02,161.52,185.75
,11406,,328.69,312.26,359.10
#,11406,,259.60,246.62,283.61
,11420,,126.30,119.99,137.99
#,11420,,83.04,78.89,90.72
,11421,,160.51,152.48,175.35
#,11421,,111.11,105.55,121.38
,11422,,180.63,171.60,197.34
#,11422,,138.34,131.42,151.13
,11423,,207.79,197.40,227.01
#,11423,,160.65,152.62,175.51
,11424,,242.06,229.96,264.45
#,11424,,186.53,177.20,203.78
,11426,,336.68,319.85,367.83
#,11426,,277.60,263.72,303.28
,11440,,143.02,135.87,156.25
#,11440,,107.83,102.44,117.81
,11441,,175.47,166.70,191.71
#,11441,,135.76,128.97,148.32
,11442,,195.29,185.53,213.36
#,11442,,150.09,142.59,163.98
,11443,,231.10,219.55,252.48
#,11443,,183.32,174.15,200.27
,11444,,288.04,273.64,314.69
#,11444,,231.54,219.96,252.95
,11446,,392.52,372.89,428.82
#,11446,,326.65,310.32,356.87
,11450,,438.60,416.67,479.17
#,11450,,275.88,262.09,301.40
,11451,,535.67,508.89,585.22
#,11451,,348.74,331.30,381.00
,11462,,425.42,404.15,464.77
#,11462,,262.05,248.95,286.29
,11463,,541.17,514.11,591.23
#,11463,,349.40,331.93,381.72
,11470,,463.74,440.55,506.63
#,11470,,301.02,285.97,328.87
,11471,,555.63,527.85,607.03
#,11471,,367.41,349.04,401.40
,11600,,198.28,188.37,216.63
#,11600,,124.99,118.74,136.55
,11601,,229.59,218.11,250.83
#,11601,,150.82,143.28,164.77
,11602,,245.20,232.94,267.88
#,11602,,163.20,155.04,178.30
,11603,,280.60,266.57,306.56
#,11603,,196.01,186.21,214.14
,11604,,313.70,298.02,342.72
#,11604,,216.85,206.01,236.91
,11606,,459.18,436.22,501.65
#,11606,,329.07,312.62,359.51
,11620,,199.49,189.52,217.95
#,11620,,126.21,119.90,137.89
,11621,,230.48,218.96,251.80
#,11621,,151.71,144.12,165.74
,11622,,254.63,241.90,278.19
#,11622,,171.98,163.38,187.89
,11623,,298.98,284.03,326.63
#,11623,,213.10,202.45,232.82
,11624,,342.18,325.07,373.83
#,11624,,244.03,231.83,266.60
,11626,,415.23,394.47,453.64
#,11626,,301.59,286.51,329.49
,11640,,203.87,193.68,222.73
#,11640,,128.97,122.52,140.90
,11641,,238.20,226.29,260.23
#,11641,,158.13,150.22,172.75
,11642,,270.48,256.96,295.50
#,11642,,185.57,176.29,202.73
,11643,,319.00,303.05,348.51
#,11643,,232.15,220.54,253.62
,11644,,395.02,375.27,431.56
#,11644,,288.80,274.36,315.51
,11646,,516.99,491.14,564.81
#,11646,,402.05,381.95,439.24
,11719,,14.22,13.51,15.54
#,11719,,7.44,7.07,8.13
,11720,,32.86,31.22,35.90
#,11720,,14.46,13.74,15.80
,11721,,44.52,42.29,48.63
#,11721,,23.86,22.67,26.07
,11730,,114.45,108.73,125.04
#,11730,,54.40,51.68,59.43
,11732,,32.89,31.25,35.94
#,11732,,17.07,16.22,18.65
,11740,,57.10,54.25,62.39
#,11740,,32.24,30.63,35.22
,11750,,160.26,152.25,175.09
#,11750,,102.79,97.65,112.30
,11755,,121.58,115.50,132.83
#,11755,,61.21,58.15,66.87
,11760,,184.97,175.72,202.08
#,11760,,111.68,106.10,122.02
,11762,,289.14,274.68,315.88
#,11762,,190.67,181.14,208.31
,11765,,164.50,156.28,179.72
#,11765,,93.48,88.81,102.13
,11770,,360.35,342.33,393.68
#,11770,,196.66,186.83,214.85
,11771,,650.38,617.86,710.54
#,11771,,476.68,452.85,520.78
,11772,,795.17,755.41,868.72
#,11772,,609.20,578.74,665.55
,11900,,57.58,54.70,62.91
#,11900,,30.46,28.94,33.28
,11901,,70.49,66.97,77.02
#,11901,,45.95,43.65,50.20
,11920,,203.09,192.94,221.88
#,11920,,118.18,112.27,129.11
,11921,,224.81,213.57,245.61
#,11921,,135.70,128.92,148.26
,11922,,61.84,58.75,67.56
#,11922,,30.20,28.69,32.99
,11950,,83.73,79.54,91.47
#,11950,,54.35,51.63,59.37
,11951,,111.51,105.93,121.82
#,11951,,76.00,72.20,83.03
,11952,,149.46,141.99,163.29
#,11952,,106.84,101.50,116.73
,11954,,164.47,156.25,179.69
#,11954,,116.69,110.86,127.49
,11960,,1042.43,990.31,1138.86
,11970,,584.73,555.49,638.81
,11971,,573.92,545.22,627.00
,11976,,149.27,141.81,163.08
#,11976,,97.61,92.73,106.64
,11980,,95.58,90.80,104.42
#,11980,,57.48,54.61,62.80
,11981,,103.49,98.32,113.07
#,11981,,66.04,62.74,72.15
,11982,,114.33,108.61,124.90
#,11982,,76.88,73.04,84.00
,11983,,147.07,139.72,160.68
#,11983,,108.65,103.22,118.70
,12001,,95.99,91.19,104.87
#,12001,,47.57,45.19,51.97
,12002,,116.97,111.12,127.79
#,12002,,62.73,59.59,68.53
,12004,,137.22,130.36,149.91
#,12004,,78.78,74.84,86.07
,12005,,183.09,173.94,200.03
#,12005,,102.05,96.95,111.49
,12006,,211.48,200.91,231.05
#,12006,,124.30,118.09,135.80
,12007,,241.19,229.13,263.50
#,12007,,154.35,146.63,168.62
,12011,,114.75,109.01,125.36
#,12011,,59.22,56.26,64.70
,12013,,120.08,114.08,131.19
#,12013,,62.29,59.18,68.06
,12014,,147.37,140.00,161.00
#,12014,,80.86,76.82,88.34
,12015,,178.25,169.34,194.74
#,12015,,101.41,96.34,110.79
,12016,,226.88,215.54,247.87
