NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
,0483T,,"1,340.78","1,273.74","1,464.80"
,0484T,,"1,742.49","1,655.37","1,903.68"
,0505T,,"10,643.27","10,111.11","11,627.78"
#,0505T,,619.68,588.70,677.01
,0506T,,137.61,130.73,150.34
,0506T,TC,98.18,93.27,107.26
,0506T,26,39.43,37.46,43.08
,0507T,,13.17,12.51,14.39
,0507T,TC,4.34,4.12,4.74
,0507T,26,8.83,8.39,9.65
,0509T,,75.55,71.77,82.54
,0509T,TC,54.73,51.99,59.79
,0509T,26,20.82,19.78,22.75
,0510T,,398.55,378.62,435.41
#,0510T,,162.69,154.56,177.74
,0511T,,540.64,513.61,590.65
,0512T,,349.33,331.86,381.64
#,0512T,,245.33,233.06,268.02
,0513T,,98.38,93.46,107.48
#,0513T,,67.25,63.89,73.47
,0515T,,569.24,540.78,621.90
,0516T,,533.13,506.47,582.44
,0517T,,426.91,405.56,466.39
,0518T,,247.22,234.86,270.09
,0523T,,152.81,145.17,166.95
,0543T,,"1,678.39","1,594.47","1,833.64"
,0545T,,"2,120.47","2,014.45","2,316.62"
,0546T,,246.83,234.49,269.66
,0552T,,6.78,6.44,7.41
,0559T,,24.69,23.46,26.98
,0561T,,135.88,129.09,148.45
,0563T,,69.87,66.38,76.34
#,0563T,,53.82,51.13,58.80
,0565T,,544.87,517.63,595.27
,0566T,,68.93,65.48,75.30
#,0566T,,52.22,49.61,57.05
,0569T,,"2,120.47","2,014.45","2,316.62"
,0570T,,501.66,476.58,548.07
,0575T,,76.99,73.14,84.11
,0576T,,70.40,66.88,76.91
,0577T,,304.14,288.93,332.27
#,0581T,,251.14,238.58,274.37
,0581T,,"2,906.90","2,761.56","3,175.79"
,0591T,,23.47,22.30,25.65
#,0591T,,9.02,8.57,9.86
,0592T,,22.55,21.42,24.63
#,0592T,,19.86,18.87,21.70
,0593T,,10.04,9.54,10.97
#,0593T,,9.03,8.58,9.87
,0596T,,"2,253.09","2,140.44","2,461.51"
,0597T,,592.17,562.56,646.94
,0598T,,60.25,57.24,65.83
,0599T,,35.48,33.71,38.77
,0601T,,"1,708.40","1,622.98","1,866.43"
,0613T,,"1,149.51","1,092.03","1,255.83"
,0615T,,114.80,109.06,125.42
,0617T,,588.96,559.51,643.44
,0618T,,827.25,785.89,903.77
,0620T,,"1,403.48","1,333.31","1,533.31"
,0640T,,88.00,83.60,96.14
,0644T,,856.17,813.36,935.36
,0646T,,"1,340.29","1,273.28","1,464.27"
,0649T,,44.70,42.47,48.84
,0650T,,64.53,61.30,70.50
,0650T,TC,38.17,36.26,41.70
,0650T,26,26.36,25.04,28.80
,0671T,,683.15,648.99,746.34
,0693T,,97.60,92.72,106.63
,0707T,,173.64,164.96,189.70
,0780T,,23.47,22.30,25.65
#,0780T,,9.02,8.57,9.86
,10004,,55.15,52.39,60.25
#,10004,,45.96,43.66,50.21
,10005,,137.00,130.15,149.67
#,10005,,75.62,71.84,82.62
,10006,,62.08,58.98,67.83
#,10006,,51.58,49.00,56.35
,10007,,305.39,290.12,333.64
#,10007,,93.36,88.69,101.99
,10008,,143.16,136.00,156.40
#,10008,,54.21,51.50,59.23
,10009,,426.43,405.11,465.88
#,10009,,111.67,106.09,122.00
,10010,,237.44,225.57,259.41
#,10010,,75.96,72.16,82.98
,10021,,103.77,98.58,113.37
#,10021,,57.49,54.62,62.81
,10030,,632.39,600.77,690.89
#,10030,,139.41,132.44,152.31
,10035,,359.90,341.91,393.20
#,10035,,86.17,81.86,94.14
,10036,,293.39,278.72,320.53
#,10036,,43.94,41.74,48.00
,10040,,117.83,111.94,128.73
#,10040,,53.82,51.13,58.80
,10060,,129.56,123.08,141.54
#,10060,,109.54,104.06,119.67
,10061,,221.54,210.46,242.03
#,10061,,191.67,182.09,209.40
,10080,,253.04,240.39,276.45
#,10080,,109.94,104.44,120.11
,10081,,352.57,334.94,385.18
#,10081,,181.90,172.81,198.73
,10120,,155.00,147.25,169.34
#,10120,,109.05,103.60,119.14
,10121,,272.88,259.24,298.13
#,10121,,192.47,182.85,210.28
,10140,,174.06,165.36,190.16
#,10140,,123.18,117.02,134.57
,10160,,132.94,126.29,145.23
#,10160,,100.12,95.11,109.38
,10180,,273.67,259.99,298.99
#,10180,,190.64,181.11,208.28
,11000,,59.98,56.98,65.53
#,11000,,28.47,27.05,31.11
,11001,,27.81,26.42,30.38
#,11001,,15.34,14.57,16.76
,11004,,609.51,579.03,665.88
,11005,,844.64,802.41,922.77
,11006,,757.50,719.63,827.57
,11008,,298.00,283.10,325.57
,11010,,461.52,438.44,504.21
#,11010,,291.51,276.93,318.47
,11011,,519.08,493.13,567.10
#,11011,,317.89,302.00,347.30
,11012,,677.87,643.98,740.58
#,11012,,443.52,421.34,484.54
,11042,,131.74,125.15,143.92
#,11042,,63.15,59.99,68.99
,11043,,240.70,228.67,262.97
#,11043,,161.60,153.52,176.55
,11044,,325.28,309.02,355.37
#,11044,,238.96,227.01,261.06
,11045,,41.62,39.54,45.47
#,11045,,26.85,25.51,29.34
,11046,,77.09,73.24,84.23
#,11046,,58.71,55.77,64.14
,11047,,128.36,121.94,140.23
#,11047,,104.07,98.87,113.70
,11055,,71.17,67.61,77.75
#,11055,,16.03,15.23,17.51
,11056,,82.65,78.52,90.30
#,11056,,22.59,21.46,24.68
,11057,,90.53,86.00,98.90
#,11057,,29.48,28.01,32.21
,11102,,101.20,96.14,110.56
#,11102,,38.84,36.90,42.44
,11103,,50.75,48.21,55.44
#,11103,,22.52,21.39,24.60
,11104,,126.32,120.00,138.00
#,11104,,48.53,46.10,53.02
,11105,,60.47,57.45,66.07
#,11105,,26.66,25.33,29.13
#,11106,,58.88,55.94,64.33
,11106,,157.02,149.17,171.55
,11107,,72.25,68.64,78.94
#,11107,,31.88,30.29,34.83
,11200,,94.23,89.52,102.95
#,11200,,78.47,74.55,85.73
,11201,,18.95,18.00,20.70
#,11201,,16.65,15.82,18.19
,11300,,101.17,96.11,110.53
#,11300,,35.19,33.43,38.44
,11301,,122.74,116.60,134.09
#,11301,,52.83,50.19,57.72
,11302,,138.50,131.58,151.32
#,11302,,61.37,58.30,67.05
,11303,,153.78,146.09,168.00
#,11303,,73.37,69.70,80.16
,11305,,105.87,100.58,115.67
#,11305,,38.59,36.66,42.16
,11306,,123.52,117.34,134.94
#,11306,,50.33,47.81,54.98
,11307,,140.14,133.13,153.10
#,11307,,64.32,61.10,70.27
,11308,,147.75,140.36,161.41
#,11308,,71.93,68.33,78.58
,11310,,116.86,111.02,127.67
#,11310,,46.95,44.60,51.29
,11311,,138.44,131.52,151.25
#,11311,,64.59,61.36,70.56
,11312,,157.42,149.55,171.98
#,11312,,76.35,72.53,83.41
,11313,,184.13,174.92,201.16
#,11313,,99.12,94.16,108.28
,11400,,130.45,123.93,142.52
#,11400,,87.13,82.77,95.19
,11401,,159.21,151.25,173.94
#,11401,,109.32,103.85,119.43
,11402,,175.79,167.00,192.05
#,11402,,120.00,114.00,131.10
,11403,,203.89,193.70,222.76
#,11403,,155.97,148.17,170.40
,11404,,231.92,220.32,253.37
#,11404,,172.85,164.21,188.84
,11406,,334.14,317.43,365.04
#,11406,,263.91,250.71,288.32
,11420,,128.40,121.98,140.28
#,11420,,84.42,80.20,92.23
,11421,,163.17,155.01,178.26
#,11421,,112.96,107.31,123.41
,11422,,183.63,174.45,200.62
#,11422,,140.64,133.61,153.65
,11423,,211.24,200.68,230.78
#,11423,,163.32,155.15,178.42
,11424,,246.08,233.78,268.85
#,11424,,189.62,180.14,207.16
,11426,,342.27,325.16,373.93
#,11426,,282.21,268.10,308.32
,11440,,145.39,138.12,158.84
#,11440,,109.62,104.14,119.76
,11441,,178.38,169.46,194.88
#,11441,,138.01,131.11,150.78
,11442,,198.53,188.60,216.89
#,11442,,152.58,144.95,166.69
,11443,,234.93,223.18,256.66
#,11443,,186.36,177.04,203.60
,11444,,292.82,278.18,319.91
#,11444,,235.38,223.61,257.15
,11446,,399.03,379.08,435.94
#,11446,,332.07,315.47,362.79
,11450,,445.88,423.59,487.13
#,11450,,280.46,266.44,306.41
,11451,,544.56,517.33,594.93
#,11451,,354.53,336.80,387.32
,11462,,432.47,410.85,472.48
#,11462,,266.40,253.08,291.04
,11463,,550.15,522.64,601.04
#,11463,,355.19,337.43,388.04
,11470,,471.43,447.86,515.04
#,11470,,306.01,290.71,334.32
,11471,,564.85,536.61,617.10
#,11471,,373.50,354.83,408.05
,11600,,201.57,191.49,220.21
#,11600,,127.07,120.72,138.83
,11601,,233.40,221.73,254.99
#,11601,,153.32,145.65,167.50
,11602,,249.27,236.81,272.33
#,11602,,165.90,157.61,181.25
,11603,,285.25,270.99,311.64
#,11603,,199.26,189.30,217.70
,11604,,318.91,302.96,348.40
#,11604,,220.44,209.42,240.83
,11606,,466.80,443.46,509.98
#,11606,,334.53,317.80,365.47
,11620,,202.80,192.66,221.56
#,11620,,128.30,121.89,140.17
,11621,,234.31,222.59,255.98
#,11621,,154.22,146.51,168.49
,11622,,258.86,245.92,282.81
#,11622,,174.83,166.09,191.00
,11623,,303.95,288.75,332.06
#,11623,,216.64,205.81,236.68
,11624,,347.86,330.47,380.04
#,11624,,248.08,235.68,271.03
,11626,,422.12,401.01,461.16
#,11626,,306.59,291.26,334.95
,11640,,207.26,196.90,226.44
#,11640,,131.11,124.55,143.23
,11641,,242.15,230.04,264.55
#,11641,,160.75,152.71,175.62
,11642,,274.96,261.21,300.39
#,11642,,188.64,179.21,206.09
,11643,,324.29,308.08,354.29
#,11643,,236.00,224.20,257.83
#,11644,,293.59,278.91,320.75
,11644,,401.57,381.49,438.71
,11646,,525.57,499.29,574.18
#,11646,,408.72,388.28,446.52
,11719,,14.45,13.73,15.79
#,11719,,7.56,7.18,8.26
,11720,,33.41,31.74,36.50
#,11720,,14.70,13.97,16.07
,11721,,45.26,43.00,49.45
#,11721,,24.26,23.05,26.51
,11730,,116.35,110.53,127.11
#,11730,,55.30,52.54,60.42
,11732,,33.44,31.77,36.54
#,11732,,17.36,16.49,18.96
,11740,,58.05,55.15,63.42
#,11740,,32.78,31.14,35.81
,11750,,162.92,154.77,177.99
#,11750,,104.50,99.28,114.17
,11755,,123.60,117.42,135.03
#,11755,,62.22,59.11,67.98
,11760,,188.04,178.64,205.44
#,11760,,113.53,107.85,124.03
,11762,,293.94,279.24,321.13
#,11762,,193.83,184.14,211.76
,11765,,167.23,158.87,182.70
#,11765,,95.03,90.28,103.82
,11770,,366.33,348.01,400.21
#,11770,,199.93,189.93,218.42
,11771,,661.17,628.11,722.33
#,11771,,484.59,460.36,529.41
,11772,,808.36,767.94,883.13
#,11772,,619.31,588.34,676.59
,11900,,58.54,55.61,63.95
#,11900,,30.97,29.42,33.83
,11901,,71.66,68.08,78.29
#,11901,,46.71,44.37,51.03
,11920,,206.46,196.14,225.56
#,11920,,120.14,114.13,131.25
,11921,,228.54,217.11,249.68
#,11921,,137.95,131.05,150.71
,11922,,62.86,59.72,68.68
#,11922,,30.70,29.17,33.55
,11950,,85.11,80.85,92.98
#,11950,,55.25,52.49,60.36
,11951,,113.36,107.69,123.84
#,11951,,77.26,73.40,84.41
,11952,,151.94,144.34,165.99
#,11952,,108.62,103.19,118.67
,11954,,167.20,158.84,182.67
#,11954,,118.63,112.70,129.61
,11960,,"1,059.73","1,006.74","1,157.75"
,11970,,594.43,564.71,649.42
,11971,,583.44,554.27,637.41
,11976,,151.75,144.16,165.78
#,11976,,99.23,94.27,108.41
,11980,,97.16,92.30,106.15
#,11980,,58.43,55.51,63.84
,11981,,105.21,99.95,114.94
#,11981,,67.14,63.78,73.35
,11982,,116.23,110.42,126.98
#,11982,,78.16,74.25,85.39
,11983,,149.51,142.03,163.33
#,11983,,110.46,104.94,120.68
,12001,,97.59,92.71,106.62
#,12001,,48.35,45.93,52.82
,12002,,118.91,112.96,129.90
#,12002,,63.77,60.58,69.67
,12004,,139.50,132.53,152.41
#,12004,,80.09,76.09,87.50
,12005,,186.13,176.82,203.34
#,12005,,103.75,98.56,113.34
