NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
,11044,,327.33,310.96,357.60
#,11044,,240.26,228.25,262.49
,11045,,41.98,39.88,45.86
#,11045,,27.19,25.83,29.70
,11046,,77.59,73.71,84.77
#,11046,,59.10,56.15,64.57
,11047,,129.55,123.07,141.53
#,11047,,105.01,99.76,114.72
,11055,,73.29,69.63,80.07
#,11055,,16.81,15.97,18.37
,11056,,84.09,79.89,91.87
#,11056,,22.91,21.76,25.02
,11057,,91.52,86.94,99.98
#,11057,,29.33,27.86,32.04
,11102,,104.32,99.10,113.97
#,11102,,39.44,37.47,43.09
,11103,,51.78,49.19,56.57
#,11103,,22.54,21.41,24.62
,11104,,129.59,123.11,141.58
#,11104,,49.25,46.79,53.81
,11105,,61.34,58.27,67.01
#,11105,,27.05,25.70,29.56
,11106,,160.35,152.33,175.18
#,11106,,59.17,56.21,64.64
,11107,,74.03,70.33,80.88
#,11107,,32.35,30.73,35.34
,11200,,94.63,89.90,103.39
#,11200,,79.16,75.20,86.48
,11201,,19.49,18.52,21.30
#,11201,,17.47,16.60,19.09
,11300,,104.30,99.09,113.95
#,11300,,35.72,33.93,39.02
,11301,,125.91,119.61,137.55
#,11301,,53.64,50.96,58.60
,11302,,141.65,134.57,154.76
#,11302,,62.31,59.19,68.07
,11303,,157.52,149.64,172.09
#,11303,,74.15,70.44,81.01
,11305,,108.72,103.28,118.77
#,11305,,39.14,37.18,42.76
,11306,,126.94,120.59,138.68
#,11306,,51.64,49.06,56.42
,11307,,143.93,136.73,157.24
#,11307,,65.61,62.33,71.68
,11308,,151.40,143.83,165.40
#,11308,,72.74,69.10,79.47
,11310,,120.51,114.48,131.65
#,11310,,48.23,45.82,52.69
,11311,,141.55,134.47,154.64
#,11311,,65.58,62.30,71.65
,11312,,162.59,154.46,177.63
#,11312,,79.22,75.26,86.55
,11313,,188.03,178.63,205.42
#,11313,,99.95,94.95,109.19
,11400,,132.42,125.80,144.67
#,11400,,87.38,83.01,95.46
,11401,,162.48,154.36,177.51
#,11401,,111.05,105.50,121.33
,11402,,178.22,169.31,194.71
#,11402,,120.73,114.69,131.89
,11403,,206.38,196.06,225.47
#,11403,,156.29,148.48,170.75
,11404,,235.19,223.43,256.94
#,11404,,173.67,164.99,189.74
,11406,,336.92,320.07,368.08
#,11406,,264.31,251.09,288.75
,11420,,131.56,124.98,143.73
#,11420,,85.17,80.91,93.05
,11421,,166.23,157.92,181.61
#,11421,,114.46,108.74,125.05
,11422,,186.70,177.37,203.98
#,11422,,141.66,134.58,154.77
,11423,,213.16,202.50,232.88
#,11423,,163.41,155.24,178.53
,11424,,246.38,234.06,269.17
#,11424,,187.55,178.17,204.90
,11426,,348.84,331.40,381.11
#,11426,,286.32,272.00,312.80
,11440,,147.70,140.32,161.37
#,11440,,109.38,103.91,119.50
,11441,,180.59,171.56,197.29
#,11441,,138.24,131.33,151.03
,11442,,201.07,191.02,219.67
#,11442,,153.00,145.35,167.15
,11443,,238.03,226.13,260.05
#,11443,,186.93,177.58,204.22
,11444,,296.37,281.55,323.78
#,11444,,236.87,225.03,258.78
,11446,,401.48,381.41,438.62
#,11446,,332.56,315.93,363.32
,11450,,455.56,432.78,497.70
#,11450,,281.76,267.67,307.82
,11451,,557.29,529.43,608.84
#,11451,,357.28,339.42,390.33
,11462,,438.97,417.02,479.57
#,11462,,265.85,252.56,290.44
,11463,,564.23,536.02,616.42
#,11463,,358.84,340.90,392.04
,11470,,481.81,457.72,526.38
#,11470,,308.02,292.62,336.51
,11471,,570.18,541.67,622.92
#,11471,,374.53,355.80,409.17
,11600,,205.18,194.92,224.16
#,11600,,127.86,121.47,139.69
,11601,,236.91,225.06,258.82
#,11601,,154.55,146.82,168.84
,11602,,253.10,240.45,276.52
#,11602,,167.38,159.01,182.86
,11603,,290.17,275.66,317.01
#,11603,,201.76,191.67,220.42
,11604,,323.81,307.62,353.76
#,11604,,222.96,211.81,243.58
,11606,,470.89,447.35,514.45
#,11606,,336.09,319.29,367.18
,11620,,206.19,195.88,225.26
#,11620,,128.53,122.10,140.42
,11621,,238.49,226.57,260.56
#,11621,,155.79,148.00,170.20
,11622,,261.67,248.59,285.88
#,11622,,175.61,166.83,191.85
,11623,,308.54,293.11,337.08
#,11623,,219.13,208.17,239.40
,11624,,352.56,334.93,385.17
#,11624,,250.03,237.53,273.16
,11626,,428.26,406.85,467.88
#,11626,,309.60,294.12,338.24
,11640,,210.11,199.60,229.54
#,11640,,131.44,124.87,143.60
,11641,,246.14,233.83,268.90
#,11641,,162.10,154.00,177.10
,11642,,277.77,263.88,303.46
#,11642,,189.02,179.57,206.51
,11643,,328.37,311.95,358.74
#,11643,,237.61,225.73,259.59
,11644,,406.25,385.94,443.83
#,11644,,295.99,281.19,323.37
,11646,,532.37,505.75,581.61
#,11646,,412.69,392.06,450.87
,11719,,14.39,13.67,15.72
#,11719,,7.67,7.29,8.38
,11720,,33.95,32.25,37.09
#,11720,,15.46,14.69,16.89
,11721,,45.44,43.17,49.65
#,11721,,24.60,23.37,26.88
,11730,,118.56,112.63,129.52
#,11730,,56.03,53.23,61.21
,11732,,34.64,32.91,37.85
#,11732,,18.17,17.26,19.85
,11740,,58.50,55.58,63.92
#,11740,,32.95,31.30,36.00
,11750,,163.53,155.35,178.65
#,11750,,103.70,98.52,113.30
,11755,,126.01,119.71,137.67
#,11755,,62.81,59.67,68.62
,11760,,193.39,183.72,211.28
#,11760,,115.40,109.63,126.07
,11762,,297.69,282.81,325.23
#,11762,,194.49,184.77,212.49
,11765,,169.03,160.58,184.67
#,11765,,94.74,90.00,103.50
,11770,,374.64,355.91,409.30
#,11770,,200.85,190.81,219.43
,11771,,670.05,636.55,732.03
#,11771,,486.50,462.18,531.51
,11772,,821.23,780.17,897.20
#,11772,,623.23,592.07,680.88
,11900,,59.00,56.05,64.46
#,11900,,31.44,29.87,34.35
,11901,,72.31,68.69,78.99
#,11901,,47.44,45.07,51.83
,11920,,200.38,190.36,218.91
#,11920,,115.33,109.56,125.99
,11921,,234.13,222.42,255.78
#,11921,,139.67,132.69,152.59
,11922,,63.95,60.75,69.86
#,11922,,31.68,30.10,34.62
,11950,,86.49,82.17,94.50
#,11950,,56.57,53.74,61.80
,11951,,114.29,108.58,124.87
#,11951,,78.32,74.40,85.56
,11952,,152.91,145.26,167.05
#,11952,,109.54,104.06,119.67
,11954,,168.66,160.23,184.26
#,11954,,120.25,114.24,131.38
,11960,,1069.30,1015.84,1168.22
,11970,,598.58,568.65,653.95
,11971,,586.53,557.20,640.78
,11976,,153.04,145.39,167.20
#,11976,,99.93,94.93,109.17
,11980,,99.00,94.05,108.16
#,11980,,60.01,57.01,65.56
,11981,,106.09,100.79,115.91
#,11981,,67.43,64.06,73.67
,11982,,119.39,113.42,130.43
#,11982,,80.06,76.06,87.47
,11983,,151.53,143.95,165.54
#,11983,,111.87,106.28,122.22
,12001,,99.27,94.31,108.46
#,12001,,49.18,46.72,53.73
,12002,,120.33,114.31,131.46
#,12002,,64.19,60.98,70.13
,12004,,140.05,133.05,153.01
#,12004,,79.54,75.56,86.89
,12005,,187.54,178.16,204.88
#,12005,,103.50,98.33,113.08
,12006,,218.63,207.70,238.86
#,12006,,127.53,121.15,139.32
,12007,,247.28,234.92,270.16
#,12007,,158.20,150.29,172.83
,12011,,118.51,112.58,129.47
#,12011,,60.02,57.02,65.57
,12013,,125.08,118.83,136.65
#,12013,,64.57,61.34,70.54
,12014,,151.87,144.28,165.92
#,12014,,81.95,77.85,89.53
,12015,,183.40,174.23,200.36
#,12015,,103.39,98.22,112.95
,12016,,234.31,222.59,255.98
#,12016,,140.19,133.18,153.16
,12017,,169.65,161.17,185.35
,12018,,191.67,182.09,209.40
,12020,,314.16,298.45,343.22
#,12020,,199.53,189.55,217.98
,12021,,186.24,176.93,203.47
#,12021,,148.93,141.48,162.70
,12031,,272.53,258.90,297.74
#,12031,,157.89,150.00,172.50
,12032,,314.26,298.55,343.33
#,12032,,196.94,187.09,215.15
,12034,,347.84,330.45,380.02
#,12034,,215.05,204.30,234.95
,12035,,409.30,388.84,447.17
#,12035,,257.02,244.17,280.80
,12036,,457.12,434.26,499.40
#,12036,,302.15,287.04,330.10
,12037,,513.68,488.00,561.20
#,12037,,351.98,334.38,384.54
,12041,,273.79,260.10,299.12
#,12041,,151.43,143.86,165.44
