NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
,72265,TC,71.16,67.60,77.74
,72265,26,40.81,38.77,44.59
,72270,,168.26,159.85,183.83
,72270,TC,100.41,95.39,109.70
,72270,26,67.86,64.47,74.14
,72285,,131.22,124.66,143.36
,72285,TC,74.52,70.79,81.41
,72285,26,56.70,53.87,61.95
,72295,,113.32,107.65,123.80
,72295,TC,72.50,68.88,79.21
,72295,26,40.81,38.77,44.59
,73000,,33.11,31.45,36.17
,73000,TC,24.77,23.53,27.06
,73000,26,8.34,7.92,9.11
,73010,,24.37,23.15,26.62
,73010,TC,15.36,14.59,16.78
,73010,26,9.02,8.57,9.86
,73020,,22.35,21.23,24.41
,73020,TC,14.68,13.95,16.04
,73020,26,7.67,7.29,8.38
,73030,,35.47,33.70,38.76
,73030,TC,26.11,24.80,28.52
,73030,26,9.35,8.88,10.21
,73040,,134.41,127.69,146.84
,73040,TC,106.46,101.14,116.31
,73040,26,27.96,26.56,30.54
,73050,,29.42,27.95,32.14
,73050,TC,20.06,19.06,21.92
,73050,26,9.35,8.88,10.21
,73060,,33.11,31.45,36.17
,73060,TC,24.77,23.53,27.06
,73060,26,8.34,7.92,9.11
,73070,,30.09,28.59,32.88
,73070,TC,21.74,20.65,23.75
,73070,26,8.34,7.92,9.11
,73080,,33.45,31.78,36.55
,73080,TC,24.77,23.53,27.06
,73080,26,8.68,8.25,9.49
,73085,,114.25,108.54,124.82
,73085,TC,85.95,81.65,93.90
,73085,26,28.29,26.88,30.91
,73090,,30.09,28.59,32.88
,73090,TC,22.08,20.98,24.13
,73090,26,8.00,7.60,8.74
,73092,,32.44,30.82,35.44
,73092,TC,24.43,23.21,26.69
,73092,26,8.00,7.60,8.74
,73100,,34.79,33.05,38.01
,73100,TC,26.45,25.13,28.90
,73100,26,8.34,7.92,9.11
,73110,,41.85,39.76,45.72
,73110,TC,33.17,31.51,36.24
,73110,26,8.68,8.25,9.49
,73115,,138.45,131.53,151.26
,73115,TC,110.15,104.64,120.34
,73115,26,28.29,26.88,30.91
,73120,,32.10,30.50,35.08
,73120,TC,23.76,22.57,25.96
,73120,26,8.34,7.92,9.11
,73130,,37.82,35.93,41.32
,73130,TC,29.14,27.68,31.83
,73130,26,8.68,8.25,9.49
,73140,,38.82,36.88,42.41
,73140,TC,31.83,30.24,34.78
,73140,26,6.99,6.64,7.64
C,73200,,154.71,146.97,169.02
C,73200,TC,106.46,101.14,116.31
,73200,26,48.25,45.84,52.72
,73201,,213.26,202.60,232.99
,73201,TC,156.44,148.62,170.91
,73201,26,56.82,53.98,62.08
C,73202,,238.83,226.89,260.92
C,73202,TC,179.30,170.34,195.89
,73202,26,59.53,56.55,65.03
C,73206,,267.36,253.99,292.09
C,73206,TC,179.53,170.55,196.13
,73206,26,87.84,83.45,95.97
C,73218,,299.39,284.42,327.08
C,73218,TC,232.87,221.23,254.41
,73218,26,66.52,63.19,72.67
,73219,,353.81,336.12,386.54
,73219,TC,274.55,260.82,299.94
,73219,26,79.26,75.30,86.60
,73220,,437.34,415.47,477.79
,73220,TC,332.04,315.44,362.76
,73220,26,105.30,100.04,115.05
,73221,,214.89,204.15,234.77
,73221,TC,148.03,140.63,161.72
,73221,26,66.85,63.51,73.04
,73222,,333.18,316.52,364.00
,73222,TC,253.59,240.91,277.05
,73222,26,79.59,75.61,86.95
,73223,,413.14,392.48,451.35
,73223,TC,307.50,292.13,335.95
,73223,26,105.64,100.36,115.41
,73225,,364.39,346.17,398.10
,73225,TC,278.92,264.97,304.72
,73225,26,85.46,81.19,93.37
,73501,,33.79,32.10,36.92
,73501,TC,24.43,23.21,26.69
,73501,26,9.35,8.88,10.21
,73502,,47.92,45.52,52.35
,73502,TC,36.87,35.03,40.28
,73502,26,11.05,10.50,12.08
,73503,,60.37,57.35,65.95
,73503,TC,46.96,44.61,51.30
,73503,26,13.41,12.74,14.65
,73521,,42.20,40.09,46.10
,73521,TC,31.16,29.60,34.04
,73521,26,11.05,10.50,12.08
,73522,,54.66,51.93,59.72
,73522,TC,40.23,38.22,43.95
,73522,26,14.43,13.71,15.77
,73523,,63.30,60.14,69.16
,73523,TC,47.63,45.25,52.04
,73523,26,15.67,14.89,17.12
,73525,,133.41,126.74,145.75
,73525,TC,104.44,99.22,114.10
,73525,26,28.97,27.52,31.65
,73551,,30.09,28.59,32.88
,73551,TC,21.74,20.65,23.75
,73551,26,8.34,7.92,9.11
,73552,,36.48,34.66,39.86
,73552,TC,27.46,26.09,30.00
,73552,26,9.02,8.57,9.86
,73560,,35.13,33.37,38.38
,73560,TC,26.79,25.45,29.27
,73560,26,8.34,7.92,9.11
,73562,,41.52,39.44,45.36
,73562,TC,32.17,30.56,35.14
,73562,26,9.35,8.88,10.21
,73564,,47.58,45.20,51.98
,73564,TC,36.20,34.39,39.55
,73564,26,11.38,10.81,12.43
,73565,,40.84,38.80,44.62
,73565,TC,32.17,30.56,35.14
,73565,26,8.68,8.25,9.49
,73580,,130.85,124.31,142.96
,73580,TC,99.06,94.11,108.23
,73580,26,31.79,30.20,34.73
,73590,,32.44,30.82,35.44
,73590,TC,24.43,23.21,26.69
,73590,26,8.00,7.60,8.74
,73592,,32.44,30.82,35.44
,73592,TC,24.43,23.21,26.69
,73592,26,8.00,7.60,8.74
,73600,,33.45,31.78,36.55
,73600,TC,25.11,23.85,27.43
,73600,26,8.34,7.92,9.11
,73610,,37.82,35.93,41.32
,73610,TC,29.14,27.68,31.83
,73610,26,8.68,8.25,9.49
,73615,,132.40,125.78,144.65
,73615,TC,104.10,98.90,113.74
,73615,26,28.29,26.88,30.91
,73620,,29.08,27.63,31.77
,73620,TC,21.41,20.34,23.39
,73620,26,7.67,7.29,8.38
,73630,,35.13,33.37,38.38
,73630,TC,26.79,25.45,29.27
,73630,26,8.34,7.92,9.11
,73650,,29.41,27.94,32.13
,73650,TC,21.41,20.34,23.39
,73650,26,8.00,7.60,8.74
,73660,,30.08,28.58,32.87
,73660,TC,23.42,22.25,25.59
,73660,26,6.65,6.32,7.27
,73700,,136.22,129.41,148.82
,73700,TC,87.97,83.57,96.11
,73700,26,48.25,45.84,52.72
,73701,,176.28,167.47,192.59
,73701,TC,119.46,113.49,130.51
,73701,26,56.82,53.98,62.08
,73702,,206.22,195.91,225.30
,73702,TC,147.03,139.68,160.63
,73702,26,59.19,56.23,64.66
C,73706,,271.76,258.17,296.90
C,73706,TC,179.53,170.55,196.13
,73706,26,92.23,87.62,100.76
,73718,,237.75,225.86,259.74
,73718,TC,171.57,162.99,187.44
,73718,26,66.18,62.87,72.30
,73719,,279.06,265.11,304.88
,73719,TC,199.80,189.81,218.28
,73719,26,79.26,75.30,86.60
,73720,,359.69,341.71,392.97
,73720,TC,254.38,241.66,277.91
,73720,26,105.30,100.04,115.05
,73721,,214.55,203.82,234.39
,73721,TC,148.03,140.63,161.72
,73721,26,66.52,63.19,72.67
,73722,,333.52,316.84,364.37
,73722,TC,253.92,241.22,277.40
,73722,26,79.59,75.61,86.95
,73723,,411.79,391.20,449.88
,73723,TC,306.49,291.17,334.85
,73723,26,105.30,100.04,115.05
,73725,,356.34,338.52,389.30
,73725,TC,268.17,254.76,292.97
,73725,26,88.18,83.77,96.34
,74018,,30.76,29.22,33.60
,74018,TC,21.74,20.65,23.75
,74018,26,9.02,8.57,9.86
,74019,,37.84,35.95,41.34
,74019,TC,26.45,25.13,28.90
,74019,26,11.39,10.82,12.44
,74021,,43.90,41.71,47.97
,74021,TC,30.82,29.28,33.67
,74021,26,13.08,12.43,14.29
,74022,,51.20,48.64,55.94
,74022,TC,35.19,33.43,38.44
,74022,26,16.01,15.21,17.49
,74150,,144.46,137.24,157.83
,74150,TC,86.29,81.98,94.28
,74150,26,58.18,55.27,63.56
C,74160,,241.76,229.67,264.12
C,74160,TC,179.30,170.34,195.89
,74160,26,62.46,59.34,68.24
C,74170,,247.84,235.45,270.77
C,74170,TC,179.63,170.65,196.25
,74170,26,68.21,64.80,74.52
,74174,,402.96,382.81,440.23
,74174,TC,295.73,280.94,323.08
,74174,26,107.23,101.87,117.15
C,74175,,268.38,254.96,293.20
C,74175,TC,179.53,170.55,196.13
,74175,26,88.85,84.41,97.07
,74176,,194.17,184.46,212.13
,74176,TC,108.37,102.95,118.39
,74176,26,85.80,81.51,93.74
,74177,,323.28,307.12,353.19
,74177,TC,233.76,222.07,255.38
,74177,26,89.52,85.04,97.80
,74178,,361.65,343.57,395.11
,74178,TC,263.67,250.49,288.06
,74178,26,97.98,93.08,107.04
,74181,,208.76,198.32,228.07
,74181,TC,136.94,130.09,149.60
,74181,26,71.82,68.23,78.46
,74182,,323.04,306.89,352.92
,74182,TC,237.91,226.01,259.91
,74182,26,85.13,80.87,93.00
,74183,,360.71,342.67,394.07
,74183,TC,253.38,240.71,276.82
,74183,26,107.33,101.96,117.25
,74185,,358.35,340.43,391.49
,74185,TC,270.52,256.99,295.54
,74185,26,87.83,83.44,95.96
,74190,,96.16,91.35,105.05
,74190,TC,65.94,62.64,72.04
,74190,26,23.24,22.08,25.39
,74210,,99.47,94.50,108.68
,74210,TC,70.15,66.64,76.64
,74210,26,29.32,27.85,32.03
,74220,,101.82,96.73,111.24
,74220,TC,71.83,68.24,78.48
,74220,26,29.99,28.49,32.76
,74221,,114.29,108.58,124.87
,74221,TC,79.90,75.91,87.30
,74221,26,34.39,32.67,37.57
,74230,,129.71,123.22,141.70
,74230,TC,103.10,97.95,112.64
,74230,26,26.61,25.28,29.07
,74235,,166.05,157.75,181.41
,74235,TC,132.31,125.69,144.54
,74235,26,58.51,55.58,63.92
,74240,,127.09,120.74,138.85
,74240,TC,87.63,83.25,95.74
,74240,26,39.46,37.49,43.11
,74246,,143.93,136.73,157.24
,74246,TC,100.41,95.39,109.70
,74246,26,43.52,41.34,47.54
,74248,,85.71,81.42,93.63
,74248,TC,51.33,48.76,56.07
,74248,26,34.39,32.67,37.57
,74250,,126.42,120.10,138.12
,74250,TC,86.96,82.61,95.00
,74250,26,39.46,37.49,43.11
C,74251,,236.90,225.06,258.82
C,74251,TC,179.40,170.43,195.99
,74251,26,57.50,54.63,62.82
C,74261,,223.49,212.32,244.17
C,74261,TC,106.12,100.81,115.93
,74261,26,117.37,111.50,128.23
C,74262,,301.40,286.33,329.28
C,74262,TC,179.30,170.34,195.89
,74262,26,122.10,116.00,133.40
,74270,,158.42,150.50,173.08
,74270,TC,108.14,102.73,118.14
,74270,26,50.28,47.77,54.94
,74280,,228.65,217.22,249.80
,74280,TC,166.86,158.52,182.30
,74280,26,61.79,58.70,67.51
,74283,,262.15,249.04,286.40
,74283,TC,159.57,151.59,174.33
,74283,26,102.58,97.45,112.07
,74290,,88.85,84.41,97.07
,74290,TC,72.84,69.20,79.58
,74290,26,16.01,15.21,17.49
,74300,,63.97,60.77,69.89
,74300,TC,40.28,38.27,44.01
,74300,26,13.64,12.96,14.90
,74301,,63.97,60.77,69.89
,74301,TC,50.62,48.09,55.30
,74301,26,10.37,9.85,11.33
,74328,,203.23,193.07,222.03
,74328,TC,159.18,151.22,173.90
,74328,26,23.45,22.28,25.62
,74329,,203.23,193.07,222.03
,74329,TC,159.18,151.22,173.90
,74329,26,23.78,22.59,25.98
,74330,,215.73,204.94,235.68
,74330,TC,159.18,151.22,173.90
,74330,26,28.64,27.21,31.29
,74340,,166.05,157.75,181.41
,74340,TC,132.31,125.69,144.54
,74340,26,26.95,25.60,29.44
,74355,,179.84,170.85,196.48
,74355,TC,132.31,125.69,144.54
,74355,26,37.43,35.56,40.89
,74360,,193.37,183.70,211.26
,74360,TC,159.18,151.22,173.90
,74360,26,27.62,26.24,30.18
,74363,,179.84,170.85,196.48
,74363,TC,132.31,125.69,144.54
,74363,26,42.51,40.38,46.44
,74400,,139.34,132.37,152.23
,74400,TC,114.75,109.01,125.36
,74400,26,24.58,23.35,26.85
,74410,,143.92,136.72,157.23
,74410,TC,120.47,114.45,131.62
,74410,26,23.45,22.28,25.62
,74415,,158.04,150.14,172.66
,74415,TC,134.25,127.54,146.67
,74415,26,23.79,22.60,25.99
,74420,,78.48,74.56,85.74
,74420,TC,53.68,51.00,58.65
,74420,26,24.80,23.56,27.09
,74425,,139.33,132.36,152.21
,74425,TC,114.86,109.12,125.49
,74425,26,24.47,23.25,26.74
,74430,,42.46,40.34,46.39
,74430,TC,26.79,25.45,29.27
,74430,26,15.67,14.89,17.12
,74440,,98.72,93.78,107.85
,74440,TC,80.91,76.86,88.39
,74440,26,17.81,16.92,19.46
,74445,,130.79,124.25,142.89
,74445,TC,56.85,54.01,62.11
,74445,26,54.01,51.31,59.01
,74450,,95.22,90.46,104.03
,74450,TC,73.73,70.04,80.55
,74450,26,16.35,15.53,17.86
,74455,,106.44,101.12,116.29
,74455,TC,90.66,86.13,99.05
,74455,26,15.78,14.99,17.24
,74470,,97.01,92.16,105.98
,74470,TC,63.29,60.13,69.15
,74470,26,26.28,24.97,28.72
,74485,,121.72,115.63,132.97
,74485,TC,81.58,77.50,89.13
,74485,26,40.14,38.13,43.85
,74710,,41.12,39.06,44.92
,74710,TC,24.43,23.21,26.69
,74710,26,16.69,15.86,18.24
C,74712,,380.23,361.22,415.40
C,74712,TC,232.30,220.69,253.79
,74712,26,147.92,140.52,161.60
,74713,,212.12,201.51,231.74
,74713,TC,120.91,114.86,132.09
,74713,26,91.21,86.65,99.65
,74740,,97.61,92.73,106.64
,74740,TC,78.89,74.95,86.19
,74740,26,18.72,17.78,20.45
,74742,,85.18,80.92,93.06
,74742,TC,63.27,60.11,69.13
,74742,26,30.33,28.81,33.13
,74775,,113.38,107.71,123.87
,74775,TC,73.73,70.04,80.55
,74775,26,31.01,29.46,33.88
,75557,,295.52,280.74,322.85
,75557,TC,182.32,173.20,199.18
,75557,26,113.20,107.54,123.67
,75559,,395.18,375.42,431.73
,75559,TC,255.94,243.14,279.61
,75559,26,139.24,132.28,152.12
,75561,,386.24,366.93,421.97
,75561,TC,260.98,247.93,285.12
,75561,26,125.26,119.00,136.85
,75563,,448.77,426.33,490.28
,75563,TC,307.16,291.80,335.57
,75563,26,141.61,134.53,154.71
,75565,,48.03,45.63,52.47
,75565,TC,35.97,34.17,39.30
,75565,26,12.06,11.46,13.18
,75571,,105.18,99.92,114.91
,75571,TC,76.20,72.39,83.25
,75571,26,28.98,27.53,31.66
,75572,,239.55,227.57,261.71
,75572,TC,154.88,147.14,169.21
,75572,26,84.67,80.44,92.51
C,75573,,303.55,288.37,331.63
C,75573,TC,180.09,171.09,196.75
,75573,26,123.46,117.29,134.88
C,75574,,295.65,280.87,323.00
C,75574,TC,179.53,170.55,196.13
,75574,26,116.13,110.32,126.87
,75600,,188.66,179.23,206.11
,75600,TC,163.16,155.00,178.25
,75600,26,25.50,24.23,27.86
,75605,,124.65,118.42,136.18
,75605,TC,69.04,65.59,75.43
,75605,26,55.61,52.83,60.75
,75625,,132.05,125.45,144.27
,75625,TC,60.74,57.70,66.36
,75625,26,71.32,67.75,77.91
,75630,,163.03,154.88,178.11
,75630,TC,65.11,61.85,71.13
,75630,26,97.92,93.02,106.97
C,75635,,294.65,279.92,321.91
C,75635,TC,179.30,170.34,195.89
,75635,26,115.35,109.58,126.02
,75705,,261.49,248.42,285.68
,75705,TC,135.38,128.61,147.90
,75705,26,126.11,119.80,137.77
,75710,,157.26,149.40,171.81
,75710,TC,70.04,66.54,76.52
,75710,26,87.22,82.86,95.29
,75716,,168.96,160.51,184.59
,75716,TC,72.73,69.09,79.45
,75716,26,96.23,91.42,105.13
,75726,,177.37,168.50,193.78
,75726,TC,78.79,74.85,86.08
,75726,26,98.59,93.66,107.71
,75731,,156.90,149.06,171.42
,75731,TC,100.76,95.72,110.08
,75731,26,56.15,53.34,61.34
,75733,,172.29,163.68,188.23
,75733,TC,110.51,104.98,120.73
,75733,26,61.78,58.69,67.49
,75736,,147.40,140.03,161.03
,75736,TC,92.69,88.06,101.27
,75736,26,54.71,51.97,59.77
,75741,,134.89,128.15,147.37
,75741,TC,72.06,68.46,78.73
,75741,26,62.83,59.69,68.64
,75743,,152.92,145.27,167.06
,75743,TC,73.41,69.74,80.20
,75743,26,79.52,75.54,86.87
,75746,,138.42,131.50,151.23
,75746,TC,83.49,79.32,91.22
,75746,26,54.92,52.17,60.00
,75756,,166.69,158.36,182.11
,75756,TC,108.83,103.39,118.90
,75756,26,57.86,54.97,63.22
,75774,,100.16,95.15,109.42
,75774,TC,52.00,49.40,56.81
,75774,26,48.17,45.76,52.62
,75801,,329.63,313.15,360.12
,75801,TC,273.30,259.64,298.59
,75801,26,45.00,42.75,49.16
,75803,,346.69,329.36,378.76
,75803,TC,273.30,259.64,298.59
,75803,26,57.50,54.63,62.82
,75805,,361.27,343.21,394.69
,75805,TC,308.37,292.95,336.89
,75805,26,39.80,37.81,43.48
,75807,,541.91,514.81,592.03
,75807,TC,462.55,439.42,505.33
,75807,26,54.60,51.87,59.65
,75809,,84.31,80.09,92.10
,75809,TC,60.07,57.07,65.63
,75809,26,24.24,23.03,26.48
,75810,,704.98,669.73,770.19
,75810,TC,633.29,601.63,691.87
,75810,26,50.68,48.15,55.37
,75820,,112.28,106.67,122.67
,75820,TC,61.07,58.02,66.72
,75820,26,51.20,48.64,55.94
,75822,,137.18,130.32,149.87
,75822,TC,66.12,62.81,72.23
,75822,26,71.06,67.51,77.64
,75825,,118.72,112.78,129.70
,75825,TC,62.42,59.30,68.20
,75825,26,56.30,53.49,61.51
,75827,,124.10,117.90,135.59
,75827,TC,67.13,63.77,73.34
,75827,26,56.98,54.13,62.25
,75831,,124.42,118.20,135.93
,75831,TC,70.04,66.54,76.52
,75831,26,54.38,51.66,59.41
,75833,,152.91,145.26,167.05
,75833,TC,79.12,75.16,86.43
,75833,26,73.79,70.10,80.62
,75840,,132.58,125.95,144.84
,75840,TC,76.43,72.61,83.50
,75840,26,56.15,53.34,61.34
,75842,,163.05,154.90,178.14
,75842,TC,89.54,85.06,97.82
,75842,26,73.51,69.83,80.30
,75860,,130.13,123.62,142.16
,75860,TC,74.08,70.38,80.94
,75860,26,56.06,53.26,61.25
,75870,,162.90,154.76,177.97
,75870,TC,99.63,94.65,108.85
,75870,26,63.27,60.11,69.13
,75872,,132.58,125.95,144.84
,75872,TC,76.43,72.61,83.50
,75872,26,56.15,53.34,61.34
,75880,,110.82,105.28,121.07
,75880,TC,76.10,72.30,83.15
,75880,26,34.72,32.98,37.93
,75885,,140.64,133.61,153.65
,75885,TC,73.41,69.74,80.20
,75885,26,67.23,63.87,73.45
,75887,,142.65,135.52,155.85
,75887,TC,74.41,70.69,81.29
,75887,26,68.24,64.83,74.55
,75889,,127.32,120.95,139.09
,75889,TC,73.74,70.05,80.56
,75889,26,53.58,50.90,58.54
,75891,,127.76,121.37,139.58
,75891,TC,74.08,70.38,80.94
,75891,26,53.69,51.01,58.66
,75893,,106.07,100.77,115.89
,75893,TC,80.13,76.12,87.54
,75893,26,25.94,24.64,28.34
,75894,,1300.57,1235.54,1420.87
,75894,TC,1215.38,1154.61,1327.80
,75894,26,76.92,73.07,84.03
,75898,,157.37,149.50,171.93
,75898,TC,53.30,50.64,58.24
,75898,26,98.24,93.33,107.33
,75901,,234.81,223.07,256.53
,75901,TC,211.23,200.67,230.77
,75901,26,23.57,22.39,25.75
,75902,,92.69,88.06,101.27
,75902,TC,73.18,69.52,79.95
,75902,26,19.51,18.53,21.31
,75956,26,360.76,342.72,394.13
,75957,26,309.29,293.83,337.90
,75958,26,205.22,194.96,224.20
,75959,26,179.59,170.61,196.20
,75970,,633.31,601.64,691.89
,75970,TC,580.26,551.25,633.94
,75970,26,39.25,37.29,42.88
,75984,,98.19,93.28,107.27
,75984,TC,59.73,56.74,65.25
,75984,26,38.46,36.54,42.02
,75989,,116.01,110.21,126.74
,75989,TC,58.72,55.78,64.15
,75989,26,57.29,54.43,62.59
,76000,,44.93,42.68,49.08
,76000,TC,28.47,27.05,31.11
,76000,26,16.46,15.64,17.99
,76010,,30.76,29.22,33.60
,76010,TC,21.74,20.65,23.75
,76010,26,9.02,8.57,9.86
,76080,,61.80,58.71,67.52
,76080,TC,35.86,34.07,39.18
,76080,26,25.94,24.64,28.34
,76098,,43.13,40.97,47.12
,76098,TC,27.46,26.09,30.00
,76098,26,15.67,14.89,17.12
,76100,,92.07,87.47,100.59
,76100,TC,62.76,59.62,68.56
,76100,26,29.31,27.84,32.02
,76120,,119.58,113.60,130.64
,76120,TC,99.40,94.43,108.59
,76120,26,20.18,19.17,22.05
,76125,,57.08,54.23,62.36
,76125,TC,40.22,38.21,43.94
,76125,26,13.08,12.43,14.29
,76145,,929.44,882.97,1015.42
,76376,,24.72,23.48,27.00
,76376,TC,15.02,14.27,16.41
,76376,26,9.70,9.22,10.60
,76377,,77.67,73.79,84.86
,76377,TC,38.89,36.95,42.49
,76377,26,38.78,36.84,42.37
C,76380,,133.31,126.64,145.64
C,76380,TC,86.29,81.98,94.28
,76380,26,47.03,44.68,51.38
,76391,,214.93,204.18,234.81
,76391,TC,160.81,152.77,175.69
,76391,26,54.12,51.41,59.12
,76506,,115.95,110.15,126.67
,76506,TC,84.61,80.38,92.44
,76506,26,31.34,29.77,34.24
,76510,,69.90,66.41,76.37
,76510,TC,30.82,29.28,33.67
,76510,26,39.08,37.13,42.70
,76511,,57.78,54.89,63.12
,76511,TC,22.08,20.98,24.13
,76511,26,35.70,33.92,39.01
,76512,,48.68,46.25,53.19
,76512,TC,18.05,17.15,19.72
,76512,26,30.64,29.11,33.48
,76513,,75.92,72.12,82.94
,76513,TC,43.59,41.41,47.62
,76513,26,32.33,30.71,35.32
,76514,,11.93,11.33,13.03
,76514,TC,3.93,3.73,4.29
,76514,26,8.00,7.60,8.74
,76516,,47.29,44.93,51.67
,76516,TC,24.77,23.53,27.06
,76516,26,22.52,21.39,24.60
,76519,,68.17,64.76,74.47
,76519,TC,37.88,35.99,41.39
,76519,26,30.29,28.78,33.10
,76529,,86.67,82.34,94.69
,76529,TC,54.69,51.96,59.75
,76529,26,31.98,30.38,34.94
,76536,,113.91,108.21,124.44
,76536,TC,85.61,81.33,93.53
,76536,26,28.30,26.89,30.92
,76604,,58.46,55.54,63.87
,76604,TC,29.81,28.32,32.57
,76604,26,28.64,27.21,31.29
,76641,,105.89,100.60,115.69
,76641,TC,69.82,66.33,76.28
,76641,26,36.08,34.28,39.42
,76642,,87.39,83.02,95.47
,76642,TC,53.68,51.00,58.65
,76642,26,33.71,32.02,36.82
,76700,,119.36,113.39,130.40
,76700,TC,79.90,75.91,87.30
,76700,26,39.46,37.49,43.11
,76705,,90.39,85.87,98.75
,76705,TC,61.07,58.02,66.72
,76705,26,29.32,27.85,32.03
,76706,,109.21,103.75,119.31
,76706,TC,81.92,77.82,89.49
,76706,26,27.29,25.93,29.82
,76770,,111.27,105.71,121.57
,76770,TC,75.19,71.43,82.14
,76770,26,36.08,34.28,39.42
,76775,,60.81,57.77,66.44
,76775,TC,32.17,30.56,35.14
,76775,26,28.64,27.21,31.29
,76776,,151.51,143.93,165.52
,76776,TC,114.42,108.70,125.01
,76776,26,37.09,35.24,40.53
,76800,,162.67,154.54,177.72
,76800,TC,97.72,92.83,106.75
,76800,26,64.95,61.70,70.96
,76801,,120.42,114.40,131.56
,76801,TC,72.17,68.56,78.84
,76801,26,48.25,45.84,52.72
,76802,,62.66,59.53,68.46
,76802,TC,21.51,20.43,23.49
,76802,26,41.15,39.09,44.95
,76805,,138.80,131.86,151.64
,76805,TC,90.21,85.70,98.56
,76805,26,48.59,46.16,53.08
,76810,,90.50,85.98,98.88
,76810,TC,42.25,40.14,46.16
,76810,26,48.25,45.84,52.72
,76811,,179.51,170.53,196.11
,76811,TC,87.98,83.58,96.12
,76811,26,91.53,86.95,99.99
,76812,,195.15,185.39,213.20
,76812,TC,109.38,103.91,119.50
,76812,26,85.78,81.49,93.71
,76813,,119.80,113.81,130.88
,76813,TC,62.08,58.98,67.83
,76813,26,57.71,54.82,63.04
,76814,,76.26,72.45,83.32
,76814,TC,28.80,27.36,31.46
,76814,26,47.45,45.08,51.84
,76815,,83.68,79.50,91.43
,76815,TC,51.33,48.76,56.07
,76815,26,32.36,30.74,35.35
,76816,,111.52,105.94,121.83
,76816,TC,70.49,66.97,77.02
,76816,26,41.03,38.98,44.83
,76817,,95.14,90.38,103.94
,76817,TC,58.05,55.15,63.42
,76817,26,37.09,35.24,40.53
,76818,,119.32,113.35,130.35
,76818,TC,67.69,64.31,73.96
,76818,26,51.63,49.05,56.41
,76819,,85.61,81.33,93.53
,76819,TC,48.64,46.21,53.14
,76819,26,36.97,35.12,40.39
,76820,,45.64,43.36,49.86
,76820,TC,21.74,20.65,23.75
,76820,26,23.90,22.71,26.12
,76821,,90.30,85.79,98.66
,76821,TC,56.37,53.55,61.58
,76821,26,33.93,32.23,37.06
,76825,,266.85,253.51,291.54
,76825,TC,186.82,177.48,204.10
,76825,26,80.03,76.03,87.43
,76826,,159.48,151.51,174.24
,76826,TC,119.80,113.81,130.88
,76826,26,39.68,37.70,43.36
,76827,,71.10,67.55,77.68
,76827,TC,42.92,40.77,46.89
,76827,26,28.18,26.77,30.79
,76828,,50.03,47.53,54.66
,76828,TC,23.42,22.25,25.59
,76828,26,26.60,25.27,29.06
,76830,,122.69,116.56,134.04
,76830,TC,88.30,83.89,96.47
,76830,26,34.39,32.67,37.57
,76831,,118.54,112.61,129.50
,76831,TC,83.60,79.42,91.33
,76831,26,34.94,33.19,38.17
,76856,,108.24,102.83,118.25
,76856,TC,74.19,70.48,81.05
,76856,26,34.05,32.35,37.20
,76857,,49.90,47.41,54.52
,76857,TC,25.78,24.49,28.16
,76857,26,24.13,22.92,26.36
,76870,,103.52,98.34,113.09
,76870,TC,71.83,68.24,78.48
,76870,26,31.68,30.10,34.62
C,76872,,138.70,131.77,151.54
C,76872,TC,106.12,100.81,115.93
,76872,26,32.58,30.95,35.59
,76873,,178.07,169.17,194.55
,76873,TC,100.30,95.29,109.58
,76873,26,77.77,73.88,84.96
,76881,,55.51,52.73,60.64
,76881,TC,11.32,10.75,12.36
,76881,26,44.19,41.98,48.28
,76882,,43.69,41.51,47.74
,76882,TC,9.64,9.16,10.53
,76882,26,34.05,32.35,37.20
,76883,,74.21,70.50,81.08
,76883,TC,15.02,14.27,16.41
,76883,26,59.19,56.23,64.66
C,76885,,123.27,117.11,134.68
C,76885,TC,86.85,82.51,94.89
,76885,26,36.42,34.60,39.79
,76886,,103.51,98.33,113.08
,76886,TC,72.50,68.88,79.21
,76886,26,31.01,29.46,33.88
,76932,,121.14,115.08,132.34
,76932,TC,78.67,74.74,85.95
,76932,26,38.11,36.20,41.63
,76936,,267.37,254.00,292.10
,76936,TC,169.00,160.55,184.63
,76936,26,98.37,93.45,107.47
,76937,,40.67,38.64,44.44
,76937,TC,25.55,24.27,27.91
,76937,26,15.12,14.36,16.51
,76940,,251.86,239.27,275.16
,76940,TC,100.51,95.48,109.80
,76940,26,105.91,100.61,115.70
,76941,,163.88,155.69,179.04
,76941,TC,76.80,72.96,83.90
,76941,26,65.15,61.89,71.17
,76942,,59.82,56.83,65.35
,76942,TC,28.47,27.05,31.11
,76942,26,31.36,29.79,34.26
,76945,,119.11,113.15,130.12
,76945,TC,76.80,72.96,83.90
,76945,26,32.01,30.41,34.97
,76946,,33.51,31.83,36.60
,76946,TC,15.02,14.27,16.41
,76946,26,18.49,17.57,20.21
,76948,,81.66,77.58,89.22
,76948,TC,49.65,47.17,54.25
,76948,26,32.01,30.41,34.97
,76965,,95.30,90.54,104.12
,76965,TC,27.46,26.09,30.00
,76965,26,67.84,64.45,74.12
,76975,,130.84,124.30,142.95
,76975,TC,78.67,74.74,85.95
,76975,26,41.81,39.72,45.68
