NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
#,12001,,46.99,44.64,51.34
,12002,,115.23,109.47,125.89
#,12002,,61.97,58.87,67.70
,12004,,134.68,127.95,147.14
#,12004,,77.27,73.41,84.42
,12005,,179.67,170.69,196.29
#,12005,,100.26,95.25,109.54
,12006,,209.94,199.44,229.36
#,12006,,124.46,118.24,135.98
,12007,,234.99,223.24,256.73
#,12007,,153.66,145.98,167.88
,12011,,113.04,107.39,123.50
#,12011,,58.82,55.88,64.26
,12013,,118.30,112.39,129.25
#,12013,,61.53,58.45,67.22
,12014,,143.83,136.64,157.14
#,12014,,78.77,74.83,86.05
,12015,,176.09,167.29,192.38
#,12015,,100.18,95.17,109.45
,12016,,225.95,214.65,246.85
#,12016,,136.01,129.21,148.59
,12017,,164.32,156.10,179.52
,12018,,186.38,177.06,203.62
,12020,,298.05,283.15,325.62
#,12020,,194.08,184.38,212.04
,12021,,177.18,168.32,193.57
#,12021,,143.69,136.51,156.99
,12031,,256.19,243.38,279.89
#,12031,,152.54,144.91,166.65
#,12032,,191.64,182.06,209.37
,12032,,298.17,283.26,325.75
,12034,,329.49,313.02,359.97
#,12034,,208.29,197.88,227.56
,12035,,389.36,369.89,425.37
#,12035,,249.67,237.19,272.77
,12036,,439.54,417.56,480.19
#,12036,,295.06,280.31,322.36
,12037,,494.94,470.19,540.72
#,12037,,342.80,325.66,374.51
,12041,,258.23,245.32,282.12
#,12041,,147.88,140.49,161.56
,12042,,304.68,289.45,332.87
#,12042,,197.84,187.95,216.14
,12044,,378.30,359.39,413.30
#,12044,,220.11,209.10,240.47
,12045,,412.53,391.90,450.69
#,12045,,280.17,266.16,306.08
,12046,,507.77,482.38,554.74
#,12046,,335.86,319.07,366.93
,12047,,558.16,530.25,609.79
#,12047,,373.18,354.52,407.70
,12051,,277.01,263.16,302.63
#,12051,,170.81,162.27,186.61
,12052,,310.30,294.79,339.01
#,12052,,201.87,191.78,220.55
,12053,,356.39,338.57,389.36
#,12053,,217.97,207.07,238.13
,12054,,377.59,358.71,412.52
#,12054,,225.46,214.19,246.32
,12055,,500.61,475.58,546.92
#,12055,,311.80,296.21,340.64
,12056,,580.43,551.41,634.12
#,12056,,397.36,377.49,434.11
,12057,,607.81,577.42,664.03
#,12057,,434.63,412.90,474.84
,13100,,334.60,317.87,365.55
#,13100,,203.52,193.34,222.34
,13101,,388.13,368.72,424.03
#,13101,,248.12,235.71,271.07
,13102,,116.09,110.29,126.83
#,13102,,73.67,69.99,80.49
,13120,,348.36,330.94,380.58
#,13120,,232.27,220.66,253.76
,13121,,417.58,396.70,456.21
#,13121,,260.98,247.93,285.12
,13122,,126.00,119.70,137.66
#,13122,,83.90,79.71,91.67
,13131,,382.74,363.60,418.14
#,13131,,245.60,233.32,268.32
,13132,,462.80,439.66,505.61
#,13132,,304.61,289.38,332.79
,13133,,168.26,159.85,183.83
#,13133,,126.80,120.46,138.53
,13151,,417.91,397.01,456.56
#,13151,,281.72,267.63,307.77
,13152,,489.80,465.31,535.11
#,13152,,337.98,321.08,369.24
,13153,,187.63,178.25,204.99
#,13153,,141.07,134.02,154.12
,13160,,824.67,783.44,900.96
,14000,,646.28,613.97,706.07
#,14000,,520.62,494.59,568.78
,14001,,827.52,786.14,904.06
#,14001,,676.03,642.23,738.56
,14020,,707.69,672.31,773.16
#,14020,,577.25,548.39,630.65
,14021,,876.91,833.06,958.02
#,14021,,722.86,686.72,789.73
,14040,,765.20,726.94,835.98
#,14040,,633.80,602.11,692.43
,14041,,930.30,883.79,1016.36
#,14041,,773.39,734.72,844.93
,14060,,772.80,734.16,844.28
#,14060,,673.29,639.63,735.57
,14061,,1002.17,952.06,1094.87
#,14061,,828.35,786.93,904.97
,14301,,1097.06,1042.21,1198.54
#,14301,,892.94,848.29,975.53
,14302,,222.75,211.61,243.35
,14350,,672.40,638.78,734.60
,15002,,343.99,326.79,375.81
#,15002,,227.90,216.51,248.99
,15003,,70.17,66.66,76.66
#,15003,,46.88,44.54,51.22
,15004,,392.19,372.58,428.47
#,15004,,266.52,253.19,291.17
,15005,,120.56,114.53,131.71
#,15005,,94.41,89.69,103.14
,15040,,259.51,246.53,283.51
#,15040,,131.29,124.73,143.44
,15050,,589.51,560.03,644.03
#,15050,,471.18,447.62,514.76
,15100,,885.24,840.98,967.13
#,15100,,742.36,705.24,811.03
,15101,,186.23,176.92,203.46
#,15101,,115.75,109.96,126.45
,15110,,853.81,811.12,932.79
#,15110,,744.73,707.49,813.61
,15111,,120.59,114.56,131.74
#,15111,,108.47,103.05,118.51
,15115,,828.56,787.13,905.20
#,15115,,722.35,686.23,789.16
,15116,,161.98,153.88,176.96
#,15116,,146.35,139.03,159.88
,15120,,857.06,814.21,936.34
#,15120,,710.35,674.83,776.05
,15121,,207.19,196.83,226.35
#,15121,,136.39,129.57,149.01
,15130,,728.59,692.16,795.98
#,15130,,615.69,584.91,672.65
,15131,,101.54,96.46,110.93
#,15131,,93.25,88.59,101.88
,15135,,879.65,835.67,961.02
#,15135,,772.81,734.17,844.30
,15136,,100.27,95.26,109.55
#,15136,,93.25,88.59,101.88
,15150,,739.81,702.82,808.24
#,15150,,679.53,645.55,742.38
,15151,,127.04,120.69,138.79
#,15151,,117.15,111.29,127.98
,15152,,161.04,152.99,175.94
#,15152,,151.79,144.20,165.83
,15155,,816.49,775.67,892.02
#,15155,,754.94,717.19,824.77
,15156,,171.41,162.84,187.27
#,15156,,161.84,153.75,176.81
,15157,,190.19,180.68,207.78
#,15157,,176.16,167.35,192.45
,15200,,850.31,807.79,928.96
#,15200,,692.43,657.81,756.48
,15201,,139.00,132.05,151.86
#,15201,,79.36,75.39,86.70
,15220,,772.25,733.64,843.69
#,15220,,620.12,589.11,677.48
,15221,,127.14,120.78,138.90
#,15221,,71.33,67.76,77.92
,15240,,934.36,887.64,1020.79
#,15240,,807.43,767.06,882.12
,15241,,173.10,164.45,189.12
#,15241,,109.63,104.15,119.77
,15260,,1003.22,953.06,1096.02
#,15260,,854.92,812.17,934.00
,15261,,203.91,193.71,222.77
#,15261,,137.57,130.69,150.29
,15271,,152.19,144.58,166.27
#,15271,,86.17,81.86,94.14
,15272,,24.41,23.19,26.67
#,15272,,17.08,16.23,18.66
,15273,,307.71,292.32,336.17
#,15273,,201.51,191.43,220.14
,15274,,80.14,76.13,87.55
#,15274,,46.01,43.71,50.27
,15275,,157.08,149.23,171.61
#,15275,,94.57,89.84,103.32
,15276,,32.95,31.30,36.00
#,15276,,25.30,24.04,27.65
,15277,,344.33,327.11,376.18
#,15277,,231.74,220.15,253.17
,15278,,95.46,90.69,104.29
#,15278,,58.78,55.84,64.22
,15570,,924.87,878.63,1010.42
#,15570,,755.51,717.73,825.39
,15572,,899.75,854.76,982.97
#,15572,,760.69,722.66,831.06
,15574,,871.02,827.47,951.59
#,15574,,740.57,703.54,809.07
,15576,,786.67,747.34,859.44
#,15576,,658.45,625.53,719.36
,15600,,331.91,315.31,362.61
#,15600,,215.50,204.73,235.44
,15610,,367.49,349.12,401.49
#,15610,,251.40,238.83,274.65
,15620,,446.83,424.49,488.16
#,15620,,334.25,317.54,365.17
,15630,,461.38,438.31,504.06
#,15630,,349.43,331.96,381.75
,15650,,546.60,519.27,597.16
#,15650,,416.15,395.34,454.64
,15730,,1383.82,1314.63,1511.82
#,15730,,919.13,873.17,1004.15
,15731,,1138.41,1081.49,1243.71
#,15731,,1018.49,967.57,1112.71
,15733,,1058.90,1005.96,1156.85
,15734,,1575.35,1496.58,1721.07
,15736,,1260.55,1197.52,1377.15
,15738,,1312.68,1247.05,1434.11
,15740,,1030.54,979.01,1125.86
#,15740,,864.69,821.46,944.68
,15750,,970.40,921.88,1060.16
,15756,,2345.82,2228.53,2562.81
,15757,,2326.37,2210.05,2541.56
,15758,,2316.20,2200.39,2530.45
,15760,,852.42,809.80,931.27
#,15760,,711.45,675.88,777.26
,15769,,498.36,473.44,544.46
,15770,,692.28,657.67,756.32
,15771,,624.92,593.67,682.72
#,15771,,531.16,504.60,580.29
,15772,,198.04,188.14,216.36
#,15772,,155.30,147.54,169.67
,15773,,608.26,577.85,664.53
#,15773,,518.00,492.10,565.92
,15774,,193.29,183.63,211.17
#,15774,,150.55,143.02,164.47
,15775,,379.62,360.64,414.74
#,15775,,264.48,251.26,288.95
,15776,,514.53,488.80,562.12
#,15776,,362.71,344.57,396.26
,15777,,223.10,211.95,243.74
,15778,,419.67,398.69,458.49
,15780,,838.20,796.29,915.73
#,15780,,666.30,632.99,727.94
,15781,,521.99,495.89,570.27
#,15781,,423.76,402.57,462.96
,15782,,481.05,457.00,525.55
#,15782,,372.61,353.98,407.08
,15783,,448.50,426.08,489.99
#,15783,,359.52,341.54,392.77
,15786,,223.95,212.75,244.66
#,15786,,136.24,129.43,148.84
,15787,,29.60,28.12,32.34
#,15787,,17.16,16.30,18.75
,15788,,375.92,357.12,410.69
#,15788,,216.77,205.93,236.82
,15789,,529.92,503.42,578.93
#,15789,,415.42,394.65,453.85
,15792,,325.49,309.22,355.60
#,15792,,210.35,199.83,229.80
,15793,,471.37,447.80,514.97
#,15793,,361.66,343.58,395.12
,15820,,568.00,539.60,620.54
#,15820,,507.72,482.33,554.68
,15821,,610.94,580.39,667.45
#,15821,,544.29,517.08,594.64
,15822,,454.75,432.01,496.81
#,15822,,395.75,375.96,432.35
,15823,,610.85,580.31,667.36
#,15823,,543.56,516.38,593.84
,15830,,1223.82,1162.63,1337.02
,15832,,963.37,915.20,1052.48
,15833,,907.89,862.50,991.88
,15834,,925.64,879.36,1011.26
,15835,,965.77,917.48,1055.10
,15836,,825.11,783.85,901.43
,15837,,885.81,841.52,967.75
#,15837,,742.29,705.18,810.96
,15838,,671.70,638.12,733.84
,15839,,913.08,867.43,997.54
#,15839,,766.69,728.36,837.61
,15840,,1031.24,979.68,1126.63
,15841,,1841.36,1749.29,2011.68
,15842,,2792.37,2652.75,3050.66
,15845,,1098.72,1043.78,1200.35
,15847,,331.88,315.29,362.58
,15851,,58.22,55.31,63.61
#,15851,,66.51,63.18,72.66
,15852,,45.97,43.67,50.22
,15853,,11.08,10.53,12.11
,15854,,13.95,13.25,15.24
,15860,,111.81,106.22,122.15
,15920,,672.13,638.52,734.30
,15922,,823.80,782.61,900.00
,15931,,745.05,707.80,813.97
,15933,,912.73,867.09,997.15
,15934,,1018.82,967.88,1113.06
,15935,,1194.66,1134.93,1305.17
,15936,,931.87,885.28,1018.07
,15937,,1016.74,965.90,1110.79
,15940,,746.20,708.89,815.22
,15941,,977.83,928.94,1068.28
,15944,,965.65,917.37,1054.98
,15945,,1053.86,1001.17,1151.35
,15946,,1669.38,1585.91,1823.80
,15950,,657.00,624.15,717.77
,15951,,926.86,880.52,1012.60
,15952,,947.41,900.04,1035.05
,15953,,1042.85,990.71,1139.32
,15956,,1213.20,1152.54,1325.42
,15958,,1208.58,1148.15,1320.37
,16000,,81.22,77.16,88.73
#,16000,,47.74,45.35,52.15
,16020,,85.75,81.46,93.68
#,16020,,57.37,54.50,62.68
,16025,,157.72,149.83,172.30
#,16025,,114.35,108.63,124.92
,16030,,203.32,193.15,222.12
#,16030,,139.85,132.86,152.79
,16035,,202.37,192.25,221.09
,16036,,87.65,83.27,95.76
,17000,,66.90,63.56,73.09
#,17000,,54.46,51.74,59.50
,17003,,6.40,6.08,6.99
#,17003,,1.94,1.84,2.12
,17004,,164.01,155.81,179.18
#,17004,,99.58,94.60,108.79
,17106,,345.42,328.15,377.37
#,17106,,280.03,266.03,305.93
,17107,,447.98,425.58,489.42
#,17107,,364.10,345.90,397.79
,17108,,641.75,609.66,701.11
#,17108,,537.78,510.89,587.52
,17110,,110.24,104.73,120.44
#,17110,,68.46,65.04,74.80
,17111,,130.16,123.65,142.20
#,17111,,84.23,80.02,92.02
,17250,,82.94,78.79,90.61
#,17250,,37.97,36.07,41.48
,17260,,98.58,93.65,107.70
#,17260,,71.15,67.59,77.73
,17261,,145.99,138.69,159.49
#,17261,,88.59,84.16,96.78
,17262,,175.32,166.55,191.53
#,17262,,111.21,105.65,121.50
,17263,,190.26,180.75,207.86
#,17263,,122.96,116.81,134.33
